    0.252333167344098830E+00    0.772979430278363466E+01    0.194415861539145453E-04    0.402673435211181666E-01    0.132023626565933228E+01    0.250511204600334159E+01    0.214406514167785645E+02   -0.501498656873107302E+04   -0.709007672003525879E+01    1
    0.210922764388533468E+00    0.481122739847153458E+01    0.606035994714928692E-03    0.424580478668212871E-01    0.122264495491981506E+01    0.234577139616012564E+01    0.257525014877319336E+02   -0.491962485171759090E+04   -0.709091005336863933E+01    1
    0.273943912017860891E+00    0.593109594889328484E+01    0.325900172572316990E-05    0.442516803741455078E-01    0.146165722608566284E+01    0.246688812971115112E+00    0.177453875541687012E+02   -0.483372201377794136E+04   -0.709174338670195858E+01    1
    0.208193279919901192E+00    0.939092528811822902E+01    0.129313459835563429E-05    0.441748809814453136E-01    0.131642392277717590E+01    0.273852939605712908E+01    0.419018244743347168E+02   -0.450270235257702188E+04   -0.709257672003530626E+01    1
    0.139910127875929879E+00    0.542932743783718141E+01    0.696178246855265058E-03    0.438419628143310591E-01    0.116119146347045898E+01    0.950823843479156494E+00    0.387573766708374023E+02   -0.424231309878775937E+04   -0.709341005336865216E+01    1
    0.188270317078038318E+00    0.958542198470588325E+01    0.162499343105340672E-04    0.470011043548584015E-01    0.119835162162780762E+01    0.134764130711555485E+01    0.187014985084533691E+02   -0.409190202741382291E+04   -0.709424338670198562E+01    1
    0.952553175549898795E-01    0.153962709091512266E+02    0.216114197755671848E-04    0.451583957672119160E-01    0.140077310800552368E+01    0.273860514163970947E+00    0.247102642059326172E+02   -0.391143770121848866E+04   -0.709507672003530576E+01    1
    0.509023812200361664E-01    0.116498078124204163E+02    0.258896175054691865E-05    0.411554050445556638E-01    0.133419579267501831E+01    0.284813387989997846E+01    0.391513586044311523E+02   -0.388302038928261891E+04   -0.709591005336862946E+01    1
    0.218671078234932620E+00    0.975561242160505948E+01    0.172155123556783671E-02    0.500234222412109381E-01    0.118387174606323242E+01    0.210747715830802917E+01    0.298797249794006348E+02   -0.386929376730637750E+04   -0.709674338670198335E+01    1
    0.384405470603599864E+00    0.835806125877100392E+01    0.678943819771508049E-02    0.449695014953613303E-01    0.141848391294479370E+01    0.190486143231391902E+01    0.117317819595336914E+02   -0.373518791101554871E+04   -0.709757672003527684E+01    1
    0.604147450327916016E-01    0.475901103972461659E+01    0.857105419565187837E-04    0.491161346435546875E-01    0.131235846877098083E+01    0.199883909821510319E+01    0.231740689277648926E+02   -0.357658164043505485E+04   -0.709841005336863251E+01    1
    0.232887994449403751E+00    0.121837995990281680E+02    0.239257882773525845E-04    0.556901264190673845E-01    0.110795876383781433E+01    0.144718226194381727E+01    0.241524267196655273E+02   -0.354438807493273362E+04   -0.709924338670198107E+01    1
    0.187543228305495968E+00    0.268111893613389043E+02    0.466270747345843176E-04    0.433025169372558624E-01    0.104485711455345154E+01    0.104665605425834651E+01    0.139673066139221191E+02   -0.346523608903014656E+04   -0.710007672003527013E+01    1
    0.352809779937258539E+00    0.466553269851288110E+01    0.215943420541343864E-04    0.116670293807983411E+00    0.123008015751838684E+01    0.230229943990707397E+01    0.310003137588500977E+02   -0.337984584023915704E+04   -0.710091005336858849E+01    1
    0.375722364310679291E+00    0.563151224987064936E+01    0.390829638238390353E-02    0.199579820632934585E+00    0.103591263294219971E+01    0.143316332697868343E+01    0.389136624336242676E+02   -0.334856593051785057E+04   -0.710174338670190597E+01    1
    0.387035078901500018E+00    0.640589216730375011E+01    0.991700444621198320E-04    0.197392482757568377E+00    0.121157112717628479E+01    0.203059815764427176E+01    0.196790575981140137E+02   -0.330540191166796330E+04   -0.710257672003526874E+01    1
