    0.545916880654162689E-01    0.758148428646784964E+02    0.754503334881242456E-04    0.690114346453063049E-01    0.134309921463304072E+01    0.175876314291748903E+01    0.263884191874426932E+02   -0.250570102545087195E+03
    0.542179505390274694E-01    0.797288166767753523E+02    0.232066729878508290E-05    0.688202595702249315E-01    0.111582909855195345E+01    0.151803085687523986E+01    0.417307804196190375E+02   -0.249821303574642371E+03
    0.861268402849411918E-01    0.846494757716027664E+02    0.590852621187201694E-04    0.703855061163178169E-01    0.136111150465188602E+01    0.499747061136955772E+00    0.255487208377437192E+02   -0.248151105597002527E+03
    0.719784879633010855E-01    0.838123237102523433E+02    0.310989828731423723E-03    0.683314791239978403E-01    0.124724357660016150E+01    0.217464558497666660E+00    0.339252162059894999E+02   -0.247799625024404293E+03
    0.795715485273593287E-01    0.825444287918466983E+02    0.478205321393739519E-05    0.694015041840533309E-01    0.131980105073056375E+01    0.831977889155604000E+00    0.243481020937944521E+02   -0.247511365772447192E+03
    0.112667202942355785E+00    0.910573525569433428E+02    0.122650360809390130E-04    0.698875302160345824E-01    0.141113587430142950E+01    0.251929616872304596E+01    0.311409598663029286E+02   -0.247499681477252068E+03
    0.644640286609677454E-01    0.813827716198410229E+02    0.302790466315612256E-02    0.697759918629828613E-01    0.134661014698630788E+01    0.153722997806678996E+01    0.261153895411540660E+02   -0.247265915029394023E+03
    0.901268834263706936E-01    0.876034668395262628E+02    0.352949026679559845E-04    0.694379789326767527E-01    0.122572819227626484E+01    0.981929430009511495E+00    0.233744673869578889E+02   -0.247232023394048952E+03
    0.695182946415502101E-01    0.812351836652849641E+02    0.910769508864027054E-05    0.689013936774619251E-01    0.115350505131157766E+01    0.288944553045686270E+01    0.242172379596353480E+02   -0.247075821644748572E+03
    0.697373401636293827E-01    0.811005739923992621E+02    0.183901936970006438E-04    0.698610398668727262E-01    0.122480605173464574E+01    0.169983381043487647E+01    0.358759191782493545E+02   -0.247070894706660170E+03
    0.411718450547035944E-01    0.735912828510297174E+02    0.453436800089669851E-04    0.687932539345094685E-01    0.143139940827660150E+01    0.202923862724160964E+01    0.303469102637435100E+02   -0.246909213246890261E+03
    0.910423383832992122E-01    0.869109202599012463E+02    0.137104129801646320E-04    0.686374567300018501E-01    0.133684392466312252E+01    0.674530361235193165E+00    0.346205394668685500E+02   -0.246894859119233161E+03
    0.712043689756981651E-01    0.814976531624052569E+02    0.134967352286974004E-03    0.702653487785909053E-01    0.140520654408809520E+01    0.563575281605912748E+00    0.292509692322543131E+02   -0.246854509201001548E+03
    0.678313037187427831E-01    0.836248852691896332E+02    0.419794600104671342E-05    0.688335749496558624E-01    0.140855072386083102E+01    0.268524227423198836E+01    0.407567576275854364E+02   -0.246634786910469870E+03
    0.618569770900791946E-01    0.789773647955488940E+02    0.279196561440136659E-04    0.700488444821175810E-01    0.103369642008573437E+01    0.211106551989688285E+01    0.250808327526551622E+02   -0.246589223866033365E+03
    0.124488108084266441E+00    0.914923797420463103E+02    0.339854658291641534E-01    0.692878792457347625E-01    0.100657070171711527E+01    0.183724358745516247E+01    0.266828589028771965E+02   -0.246528092560618177E+03
    0.772236662691775239E-01    0.840702408549136067E+02    0.336869452406817187E-02    0.685393335207178378E-01    0.104567959324358073E+01    0.199916637145727005E+01    0.417603796681967765E+02   -0.246479678864656535E+03
    0.752630191796078429E-01    0.827642005083554153E+02    0.511633673252529994E-02    0.697399302061053328E-01    0.144448939139294663E+01    0.267404524482847128E+01    0.237852268342051936E+02   -0.246363580686854334E+03
    0.100647384864628472E+00    0.893795057187613509E+02    0.587699008622206004E-01    0.690097732139471343E-01    0.135328095547652683E+01    0.170798586462609148E+01    0.342466623119598381E+02   -0.246229063275223041E+03
    0.896137433037097059E-01    0.869547144139552302E+02    0.843347748191088120E-05    0.685686003823137991E-01    0.135984221789557180E+01    0.282728473112432432E+00    0.300385976114269866E+02   -0.246228883666518186E+03
    0.601056466135791653E-01    0.806213404301993108E+02    0.297909022236527397E-01    0.679192630440053763E-01    0.116379614144799048E+01    0.111822569282433704E+01    0.444124836525790840E+02   -0.246207653204140740E+03
    0.106246792704348031E+00    0.889076803007654490E+02    0.100375086606711047E-03    0.697459174793468584E-01    0.116378576453211768E+01    0.292777855361857364E+01    0.329272231705902243E+02   -0.246204563477205653E+03
